transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale,Day,Month,Year
180,05-11-2022,10:47:00,117,Male,41,Clothing,3,300,129,900,5,11,2022
522,09-07-2022,11:00:00,52,Male,46,Beauty,3,500,145,1500,9,7,2022
559,12-12-2022,10:48:00,5,Female,40,Clothing,4,300,84,1200,12,12,2022
1180,06-01-2022,08:53:00,85,Male,41,Clothing,3,300,129,900,6,1,2022
1522,14-11-2022,08:35:00,48,Male,46,Beauty,3,500,235,1500,14,11,2022
1559,20-08-2022,07:40:00,49,Female,40,Clothing,4,300,144,1200,20,8,2022
163,31-10-2022,09:38:00,144,Female,64,Clothing,3,50,23,150,31,10,2022
303,22-04-2022,11:09:00,54,Male,19,Electronics,3,30,14.7,90,22,4,2022
421,08-04-2022,08:43:00,66,Female,37,Clothing,3,500,235,1500,8,4,2022
979,18-05-2022,10:18:00,6,Female,19,Beauty,1,25,10.5,25,18,5,2022
1163,04-05-2022,10:52:00,120,Female,64,Clothing,3,50,27,150,4,5,2022
1303,19-03-2022,08:59:00,58,Male,19,Electronics,3,30,15,90,19,3,2022
1421,17-01-2022,07:07:00,59,Female,37,Clothing,3,500,185,1500,17,1,2022
1979,17-08-2022,11:34:00,102,Female,19,Beauty,1,25,7.75,25,17,8,2022
610,18-12-2022,06:56:00,137,Female,26,Beauty,2,300,93,600,18,12,2022
1610,23-11-2022,10:18:00,1,Female,26,Beauty,2,300,102,600,23,11,2022
32,16-07-2022,09:11:00,150,Male,30,Beauty,3,30,8.4,90,16,7,2022
231,09-07-2022,07:02:00,50,Female,23,Clothing,3,50,26.5,150,9,7,2022
683,06-03-2022,10:22:00,82,Male,38,Beauty,2,500,175,1000,6,3,2022
1032,01-04-2022,08:15:00,1,Male,30,Beauty,3,30,10.5,90,1,4,2022
1231,29-01-2022,07:05:00,12,Female,23,Clothing,3,50,23,150,29,1,2022
1683,04-05-2022,07:19:00,98,Male,38,Beauty,2,500,220,1000,4,5,2022
367,30-12-2022,07:03:00,123,Female,57,Electronics,1,50,18,50,30,12,2022
391,25-03-2022,07:37:00,68,Male,19,Beauty,2,25,6.25,50,25,3,2022
1797,16-04-2022,11:47:00,147,Male,40,Clothing,3,25,12.25,75,16,4,2022
1921,08-02-2022,07:01:00,77,Male,51,Electronics,3,25,7.5,75,8,2,2022
291,22-11-2022,08:29:00,15,Male,60,Clothing,2,300,126,600,22,11,2022
907,02-09-2022,06:16:00,145,Female,45,Electronics,1,25,8.5,25,2,9,2022
1291,04-04-2022,11:19:00,72,Male,60,Clothing,2,300,153,600,4,4,2022
1907,17-11-2022,11:21:00,115,Female,45,Electronics,1,25,9,25,17,11,2022
860,11-04-2022,08:58:00,85,Male,63,Clothing,4,50,16,200,11,4,2022
1860,12-03-2022,11:21:00,57,Male,63,Clothing,4,50,18,200,12,3,2022
184,13-02-2022,06:44:00,128,Male,31,Electronics,4,50,17,200,13,2,2022
734,12-03-2022,08:54:00,77,Female,27,Clothing,1,30,15.6,30,12,3,2022
1184,12-02-2022,08:28:00,23,Male,31,Electronics,4,50,27.5,200,12,2,2022
1734,28-02-2022,08:58:00,72,Female,27,Clothing,1,30,14.4,30,28,2,2022
225,05-03-2022,07:37:00,85,Female,57,Beauty,4,25,12.75,100,5,3,2022
1679,23-09-2022,08:08:00,71,Female,18,Beauty,3,30,15.3,90,23,9,2022
1746,13-06-2022,07:59:00,88,Female,33,Clothing,3,30,10.8,90,13,6,2022
3,14-06-2022,07:08:00,114,Male,50,Electronics,1,30,8.1,30,14,6,2022
464,06-03-2022,11:13:00,24,Male,38,Electronics,2,300,75,600,6,3,2022
484,13-03-2022,07:52:00,135,Female,19,Clothing,4,300,75,1200,13,3,2022
591,21-03-2022,08:38:00,94,Male,53,Electronics,4,25,6.5,100,21,3,2022
1003,26-01-2022,07:59:00,80,Male,50,Electronics,1,30,15.9,30,26,1,2022
1464,13-11-2022,10:06:00,80,Male,38,Electronics,2,300,126,600,13,11,2022
1484,23-11-2022,09:29:00,22,Female,19,Clothing,4,300,147,1200,23,11,2022
1591,29-09-2022,11:00:00,62,Male,53,Electronics,4,25,7,100,29,9,2022
21,11-07-2022,07:33:00,59,Female,50,Beauty,1,500,275,500,11,7,2022
708,06-04-2022,08:38:00,62,Female,43,Beauty,3,300,87,900,6,4,2022
713,16-04-2022,11:43:00,39,Male,34,Beauty,3,25,11.25,75,16,4,2022
768,27-06-2022,06:50:00,58,Female,24,Beauty,3,25,10.5,75,27,6,2022
1021,11-06-2022,10:19:00,44,Female,50,Beauty,1,500,155,500,11,6,2022
1708,08-02-2022,07:47:00,41,Female,43,Beauty,3,300,162,900,8,2,2022
1713,03-10-2022,10:10:00,90,Male,34,Beauty,3,25,10.75,75,3,10,2022
1768,31-07-2022,09:52:00,85,Female,24,Beauty,3,25,8.75,75,31,7,2022
499,03-04-2022,10:52:00,15,Male,46,Beauty,2,30,16.5,60,3,4,2022
697,25-12-2022,07:52:00,152,Male,53,Clothing,1,500,200,500,25,12,2022
831,30-11-2022,11:49:00,149,Male,27,Electronics,4,25,13.75,100,30,11,2022
1499,23-09-2022,09:46:00,3,Male,46,Beauty,2,30,11.7,60,23,9,2022
1697,18-12-2022,08:22:00,54,Male,53,Clothing,1,500,265,500,18,12,2022
1831,26-03-2022,10:54:00,80,Male,27,Electronics,4,25,6.5,100,26,3,2022
15,01-07-2022,11:50:00,75,Female,42,Electronics,4,500,210,2000,1,7,2022
743,07-08-2022,07:54:00,55,Female,34,Beauty,4,500,260,2000,7,8,2022
1015,09-03-2022,11:53:00,94,Female,42,Electronics,4,500,200,2000,9,3,2022
1743,26-10-2022,09:37:00,47,Female,34,Beauty,4,500,250,2000,26,10,2022
14,18-05-2022,07:11:00,8,Male,64,Clothing,4,30,13.2,120,18,5,2022
103,12-11-2022,10:05:00,33,Female,59,Clothing,1,25,10.75,25,12,11,2022
238,10-05-2022,11:52:00,20,Female,39,Beauty,1,500,150,500,10,5,2022
986,01-08-2022,09:35:00,65,Female,49,Clothing,2,500,200,1000,1,8,2022
1014,04-02-2022,10:26:00,147,Male,64,Clothing,4,30,11.4,120,4,2,2022
1103,14-02-2022,07:11:00,61,Female,59,Clothing,1,25,6.75,25,14,2,2022
1238,17-09-2022,07:38:00,129,Female,39,Beauty,1,500,165,500,17,9,2022
1986,14-09-2022,08:28:00,29,Female,49,Clothing,2,500,145,1000,14,9,2022
438,31-08-2022,10:15:00,88,Female,42,Clothing,1,30,15.9,30,31,8,2022
1438,07-01-2022,10:00:00,72,Female,42,Clothing,1,30,13.8,30,7,1,2022
475,12-08-2022,10:39:00,78,Male,26,Clothing,3,25,9,75,12,8,2022
505,17-12-2022,07:25:00,86,Male,24,Beauty,1,50,19.5,50,17,12,2022
1475,04-10-2022,07:03:00,132,Male,26,Clothing,3,25,10.75,75,4,10,2022
1505,30-10-2022,08:00:00,98,Male,24,Beauty,1,50,14.5,50,30,10,2022
344,17-07-2022,09:47:00,69,Female,42,Beauty,1,30,7.5,30,17,7,2022
448,19-03-2022,09:36:00,86,Female,54,Beauty,2,30,16.2,60,19,3,2022
742,19-03-2022,06:08:00,37,Female,38,Electronics,4,500,195,2000,19,3,2022
1344,18-12-2022,06:12:00,144,Female,42,Beauty,1,30,11.1,30,18,12,2022
1448,16-05-2022,06:28:00,51,Female,54,Beauty,2,30,9.3,60,16,5,2022
1742,22-11-2022,08:25:00,18,Female,38,Electronics,4,500,220,2000,22,11,2022
445,14-04-2022,10:48:00,132,Female,53,Electronics,1,300,138,300,14,4,2022
787,10-06-2022,10:42:00,25,Male,41,Electronics,1,25,13.75,25,10,6,2022
1445,19-04-2022,06:16:00,31,Female,53,Electronics,1,300,129,300,19,4,2022
1787,30-05-2022,07:42:00,104,Male,41,Electronics,1,25,10,25,30,5,2022
49,17-09-2022,10:33:00,37,Female,54,Electronics,2,500,255,1000,17,9,2022
420,02-01-2022,10:53:00,28,Female,22,Clothing,4,500,200,2000,2,1,2022
519,08-04-2022,10:17:00,52,Female,36,Electronics,4,30,16.5,120,8,4,2022
1049,16-05-2022,06:36:00,143,Female,54,Electronics,2,500,125,1000,16,5,2022
1420,15-04-2022,07:01:00,138,Female,22,Clothing,4,500,205,2000,15,4,2022
1519,08-01-2022,07:35:00,139,Female,36,Electronics,4,30,9.3,120,8,1,2022
64,15-11-2022,06:34:00,7,Male,49,Clothing,4,25,8.5,100,15,11,2022
592,26-12-2022,09:15:00,77,Female,46,Beauty,4,500,275,2000,26,12,2022
912,31-10-2022,06:18:00,122,Male,51,Beauty,3,50,20.5,150,31,10,2022
1064,14-04-2022,10:38:00,49,Male,49,Clothing,4,25,13.75,100,14,4,2022
1592,16-03-2022,09:08:00,81,Female,46,Beauty,4,500,155,2000,16,3,2022
1912,27-05-2022,07:40:00,146,Male,51,Beauty,3,50,22,150,27,5,2022
134,25-08-2022,09:03:00,132,Male,49,Electronics,1,50,16,50,25,8,2022
1134,05-08-2022,09:04:00,106,Male,49,Electronics,1,50,24,50,5,8,2022
288,02-05-2022,09:59:00,27,Male,28,Clothing,4,30,12,120,2,5,2022
323,21-01-2022,08:22:00,97,Female,29,Beauty,3,300,150,900,21,1,2022
618,13-10-2022,10:22:00,5,Female,27,Beauty,1,50,26,50,13,10,2022
720,08-04-2022,08:50:00,116,Female,56,Beauty,3,500,235,1500,8,4,2022
1288,05-04-2022,11:56:00,26,Male,28,Clothing,4,30,9,120,5,4,2022
1323,15-08-2022,10:49:00,136,Female,29,Beauty,3,300,114,900,15,8,2022
1618,15-09-2022,06:27:00,118,Female,27,Beauty,1,50,13.5,50,15,9,2022
1720,10-10-2022,08:51:00,28,Female,56,Beauty,3,500,190,1500,10,10,2022
415,05-01-2022,09:59:00,85,Male,53,Clothing,2,30,8.1,60,5,1,2022
736,18-12-2022,08:30:00,97,Male,29,Clothing,4,25,9.75,100,18,12,2022
929,11-03-2022,10:18:00,40,Female,23,Beauty,3,25,10.5,75,11,3,2022
1415,06-03-2022,07:11:00,146,Male,53,Clothing,2,30,15.3,60,6,3,2022
1736,28-08-2022,08:57:00,87,Male,29,Clothing,4,25,10.25,100,28,8,2022
1929,15-09-2022,06:50:00,62,Female,23,Beauty,3,25,12.75,75,15,9,2022
264,26-12-2022,11:03:00,111,Male,47,Clothing,3,300,150,900,26,12,2022
913,12-10-2022,10:52:00,78,Male,29,Electronics,3,30,16.5,90,12,10,2022
940,05-01-2022,08:11:00,46,Female,20,Electronics,1,30,9.6,30,5,1,2022
1264,27-05-2022,09:23:00,82,Male,47,Clothing,3,300,123,900,27,5,2022
1913,23-06-2022,07:10:00,101,Male,29,Electronics,3,30,14.1,90,23,6,2022
1940,15-06-2022,09:47:00,56,Female,20,Electronics,1,30,11.1,30,15,6,2022
101,08-01-2022,08:46:00,24,Male,32,Clothing,2,300,135,600,8,1,2022
1101,17-05-2022,07:47:00,15,Male,32,Clothing,2,300,132,600,17,5,2022
189,02-01-2022,09:44:00,143,Male,63,Beauty,1,50,14.5,50,2,1,2022
317,04-05-2022,07:54:00,117,Male,22,Electronics,3,30,12,90,4,5,2022
322,19-10-2022,06:11:00,13,Male,51,Electronics,1,500,125,500,19,10,2022
329,27-10-2022,07:42:00,52,Female,46,Electronics,4,25,8,100,27,10,2022
1189,07-12-2022,06:08:00,104,Male,63,Beauty,1,50,20.5,50,7,12,2022
1317,25-08-2022,08:02:00,144,Male,22,Electronics,3,30,12,90,25,8,2022
1322,14-11-2022,09:56:00,10,Male,51,Electronics,1,500,250,500,14,11,2022
